-<enchantment:ebwizardry:freezing_weapon> - Frost Imbuement I (at level 1, max level 4, treasure: no, enchant id 73)
-<enchantment:abyssalcraft:light_pierce> - Light Pierce I (at level 1, max level 5, treasure: no, enchant id 90)
-<enchantment:enderio:repellent> - Repellent I (at level 1, max level 4, treasure: no, enchant id 46)
-<enchantment:minecraft:sweeping> - Sweeping Edge I (at level 1, max level 3, treasure: no, enchant id 22)
-<enchantment:minecraft:thorns> - Thorns I (at level 1, max level 3, treasure: no, enchant id 7)
-<enchantment:cofhcore:leech> - Leech I (at level 1, max level 4, treasure: no, enchant id 96)
-<enchantment:thaumictinkerer:pounce> - Pounce I (at level 1, max level 5, treasure: yes, enchant id 126)
-<enchantment:enderio:witherarrow> - Withering (at level 1, max level 1, treasure: no, enchant id 53)
-<enchantment:mod_lavacow:corrosive> - Corrosive I (at level 1, max level 5, treasure: no, enchant id 84)
-<enchantment:thaumictinkerer:finalstrike> - Final Strike I (at level 1, max level 5, treasure: yes, enchant id 121)
-<enchantment:divinerpg:rive> - Rive I (at level 1, max level 3, treasure: no, enchant id 80)
-<enchantment:astralsorcery:enchantment.as.nightvision> - Night Vision (at level 1, max level 1, treasure: no, enchant id 112)
-<enchantment:thaumictinkerer:tunnel> - Tunnel I (at level 1, max level 5, treasure: yes, enchant id 117)
-<enchantment:aoa3:greed> - Curse of Greed (at level 1, max level 1, treasure: no, enchant id 67)
-<enchantment:tombstone:blessing> - Blessing (at level 1, max level 10, treasure: no, enchant id 44)
-<enchantment:minecraft:frost_walker> - Frost Walker I (at level 1, max level 2, treasure: yes, enchant id 9)
-<enchantment:bibliocraft:bibliocraft.deathcompassench> - Eternal Compass (at level 1, max level 1, treasure: no, enchant id 78)
-<enchantment:minecraft:punch> - Punch I (at level 1, max level 2, treasure: no, enchant id 49)
-<enchantment:minecraft:sharpness> - Sharpness I (at level 1, max level 5, treasure: no, enchant id 16)
-<enchantment:minecraft:efficiency> - Efficiency I (at level 1, max level 5, treasure: no, enchant id 32)
-<enchantment:cyclicmagic:enchantment.quickdraw> - Quick Draw (at level 1, max level 1, treasure: no, enchant id 108)
-<enchantment:cofhcore:smashing> - Smashing (at level 1, max level 1, treasure: no, enchant id 98)
-<enchantment:aoa3:recharge> - Recharge I (at level 1, max level 5, treasure: no, enchant id 60)
-<enchantment:aoa3:control> - Control I (at level 1, max level 3, treasure: no, enchant id 63)
-<enchantment:minecraft:lure> - Lure I (at level 1, max level 3, treasure: no, enchant id 62)
-<enchantment:railcraft:implosion> - Implosion I (at level 1, max level 5, treasure: no, enchant id 13)
-<enchantment:minecraft:fire_aspect> - Fire Aspect I (at level 1, max level 2, treasure: no, enchant id 20)
-<enchantment:aoa3:crush> - Crush I (at level 1, max level 3, treasure: no, enchant id 65)
-<enchantment:tombstone:plague_bringer> - Plague Bringer (at level 1, max level 10, treasure: no, enchant id 43)
-<enchantment:ebwizardry:magic_sword> - Imbuement I (at level 1, max level 4, treasure: no, enchant id 68)
-<enchantment:draconicevolution:enchant_reaper> - Reaper I (at level 1, max level 5, treasure: no, enchant id 11)
-<enchantment:thaumictinkerer:autosmelt> - Flaming Touch (at level 1, max level 1, treasure: yes, enchant id 128)
-<enchantment:astralsorcery:enchantment.as.smelting> - Scorching Heat (at level 1, max level 1, treasure: no, enchant id 113)
-<enchantment:minecraft:fortune> - Fortune I (at level 1, max level 3, treasure: no, enchant id 35)
-<enchantment:openblocks:explosive> - Unstable I (at level 1, max level 3, treasure: no, enchant id 29)
-<enchantment:divinerpg:aftershock> - Aftershock I (at level 1, max level 2, treasure: no, enchant id 81)
-<enchantment:openblocks:flim_flam> - Flim Flam I (at level 1, max level 4, treasure: no, enchant id 31)
-<enchantment:minecraft:mending> - Mending (at level 1, max level 1, treasure: yes, enchant id 70)
-<enchantment:minecraft:knockback> - Knockback I (at level 1, max level 2, treasure: no, enchant id 19)
-<enchantment:extrautils2:xu.kaboomerang> - Kaboomerang I (at level 1, max level 3, treasure: no, enchant id 23)
-<enchantment:woot:headhunter> - Headhunter I (at level 1, max level 3, treasure: no, enchant id 87)
-<enchantment:ebwizardry:shock_protection> - Shock Protection I (at level 1, max level 4, treasure: no, enchant id 76)
-<enchantment:aoa3:archmage> - Archmage I (at level 1, max level 3, treasure: no, enchant id 58)
-<enchantment:minecraft:aqua_affinity> - Aqua Affinity (at level 1, max level 1, treasure: no, enchant id 6)
-<enchantment:thaumictinkerer:dispersedstrikes> - Dispersed Strikes I (at level 1, max level 5, treasure: yes, enchant id 127)
-<enchantment:railcraft:smack> - Smack I (at level 1, max level 4, treasure: no, enchant id 15)
-<enchantment:soulshardsrespawn:soul_stealer> - Soul Stealer I (at level 1, max level 5, treasure: no, enchant id 85)
-<enchantment:mod_lavacow:lifesteal> - Lifesteal I (at level 1, max level 3, treasure: no, enchant id 83)
-<enchantment:cyclicmagic:enchantment.multishot> - Multi-Shot (at level 1, max level 1, treasure: no, enchant id 107)
-<enchantment:bewitchment:magic_protection> - Magic Protection I (at level 1, max level 4, treasure: no, enchant id 77)
-<enchantment:thaumictinkerer:quickdraw> - Quick Draw I (at level 1, max level 2, treasure: yes, enchant id 122)
-<enchantment:thaumictinkerer:valiance> - Valiance I (at level 1, max level 5, treasure: yes, enchant id 115)
-<enchantment:minecraft:vanishing_curse> - Curse of Vanishing (at level 1, max level 1, treasure: yes, enchant id 71)
-<enchantment:endercore:autosmelt> - Flaming Touch (at level 1, max level 1, treasure: no, enchant id 38)
-<enchantment:cyclicmagic:enchantment.autosmelt> - Flaming Touch (at level 1, max level 1, treasure: no, enchant id 102)
-<enchantment:thaumictinkerer:desintegrate> - Desintegrate (at level 1, max level 1, treasure: yes, enchant id 123)
-<enchantment:minecraft:depth_strider> - Depth Strider I (at level 1, max level 3, treasure: no, enchant id 8)
